Terms,Frequency absolute,Frequency Relative
PROPAGANDA,34,"0,0396681872805124"
quanto,34,"0,0396681872805124"
raio,34,"0,0396681872805124"
SLOT,34,"0,0396681872805124"
500,33,"0,0385014758899091"
BisexualPride,33,"0,0385014758899091"
deixa,33,"0,0385014758899091"
desse,33,"0,0385014758899091"
EM,33,"0,0385014758899091"
kkkkkkkkkkkkkkkkkkkkkkk,33,"0,0385014758899091"
milh?o,33,"0,0385014758899091"
outro,33,"0,0385014758899091"
pc,33,"0,0385014758899091"
stereo,33,"0,0385014758899091"
valor,33,"0,0385014758899091"
40,32,"0,0373347644993058"
50,32,"0,0373347644993058"
!,32,"0,0373347644993058"
????,32,"0,0373347644993058"
1000x,32,"0,0373347644993058"
fazendo,32,"0,0373347644993058"
gems,32,"0,0373347644993058"
gosta,32,"0,0373347644993058"
jogando,32,"0,0373347644993058"
krl,32,"0,0373347644993058"
L?,32,"0,0373347644993058"
maluco,32,"0,0373347644993058"
natal,32,"0,0373347644993058"
"Skip,",32,"0,0373347644993058"
skipinho,32,"0,0373347644993058"
!loja,31,"0,0361680531087025"
amanh?,31,"0,0361680531087025"
calma,31,"0,0361680531087025"
chama,31,"0,0361680531087025"
COM,31,"0,0361680531087025"
fuja,31,"0,0361680531087025"
PRO,31,"0,0361680531087025"
roda,31,"0,0361680531087025"
SE,31,"0,0361680531087025"
200,30,"0,0350013417180992"
1k,30,"0,0350013417180992"
kkkkkkkkkkkkkkkkkkkkkk,30,"0,0350013417180992"
perde,30,"0,0350013417180992"
ve,30,"0,0350013417180992"
Boa,29,"0,0338346303274959"
cade,29,"0,0338346303274959"
fiz,29,"0,0338346303274959"
forra,29,"0,0338346303274959"
forras,29,"0,0338346303274959"
KAPOW,29,"0,0338346303274959"
nessa,29,"0,0338346303274959"
uns,29,"0,0338346303274959"
bass,28,"0,0326679189368926"
BLAZE,28,"0,0326679189368926"
certo,28,"0,0326679189368926"
eles,28,"0,0326679189368926"
ganho,28,"0,0326679189368926"
grande,28,"0,0326679189368926"
JOGO,28,"0,0326679189368926"
KEKW,28,"0,0326679189368926"
LA,28,"0,0326679189368926"
n?,28,"0,0326679189368926"
ontem,28,"0,0326679189368926"
piru,28,"0,0326679189368926"
safe,28,"0,0326679189368926"
teu,28,"0,0326679189368926"
viu,28,"0,0326679189368926"
volta,28,"0,0326679189368926"
30x,27,"0,0315012075462893"
das,27,"0,0315012075462893"
falar,27,"0,0315012075462893"
ISSO,27,"0,0315012075462893"
pagando,27,"0,0315012075462893"
pescador,27,"0,0315012075462893"
pqp,27,"0,0315012075462893"
prime,27,"0,0315012075462893"
0,26,"0,030334496155686"
1K,26,"0,030334496155686"
cima,26,"0,030334496155686"
dias,26,"0,030334496155686"
esses,26,"0,030334496155686"
galera,26,"0,030334496155686"
